109,Baci,Kiz Kardes
110,Bas,Kafa
111,Cahil,Bilgisiz
112,Caka,Gosteris
113,Camekan,Vitrin
114,Canli,Diri
115,Cazibe,cekim
116,Cehalet,Bilgisizlik
117,Celse,Oturum
118,Cenk,Savas
119,Cenup,GUney
120,Cerahat,Irin
121,Cerrah,Operator
122,Cesur,YUrekli
123,Cet,Ata
124,Cevap,Yanit
125,Ceviz,Koz
126,Ciliz,Siska
127,Ciddi,Agirbasli
128,Cihaz,Aygit
129,Cihet,Yon
130,Cilt,Ten
131,Cimri,Pinti
132,Cimri,Hasis
133,Cin,TUr
134,Civar,Yore
135,Comert,Eli Acik
136,CUmle,TUmce
137,Ciliz,Siska
138,Ciddi,Agirbasli
139,Cihet,Yon
140,Cilt,Ten
141,Cimri,Pinti
142,Cimri,Hasis
143,Cins,TUr
144,Civar,Yore
145,Comert,Eli Acik
146,CUmle,TUmce
147,cabuk,Acele
148,cag,Devir
149,cagdas,Modern
150,cagri,Davet
151,cayir,Davet
152,cehre,YUz
153,cesit,TUr
154,ceviri,TercUme
155,ciglik,Feryat
156,cilgin,Deli
157,cizelge,Cetvel
158,cogunluk,Ekseriyet
159,cok,Fazla
160,camur,Balcik
161,care,Deva
162,Dahil,Ic
163,Daimi,SUrekli
164,Darbe,Vurus
165,Dargin,KUs
166,Darilmak,KUsmek
167,Davet,cagri
168,Defa,Kez
169,Deger,Kiymet
170,Degerli,Kiymetli
171,Degnek,Sopa
172,Deli,cilgin
173,Delil,Kanit
174,Deneme,TecrUbe
175,Denetim,Kontrol
176,Deney,TecrUbe
177,Deprem,Zerzele
178,Dergi,Mecmua
179,Derhal,Hemen
180,Deri,Ten
181,Derslik,Sinif
182,Devamli,SUrekli
183,Devinim,Hareket
184,Devir,cag
185,Devir,Tur
186,Devre,Donem
187,Disalim,Ithalat
188,Dissatim,Ihracat
189,Diger,Baska
190,Dil,Lisan
191,Dilbilgisi,Gramer
192,Diri,Canli
193,Dize,Misra
194,Doga,Tabiat
195,Dogal,Tabii
196,Dogu,Sark
197,Doktor,Hekim
198,Donuk,Mat
199,Doruk,Zirve
200,Donemec,Viraj
201,Dosek,Yatak
202,Duru,Berrak
203,Durum,Vaziyet
204,Duygu,His
205,DUs,RUya
206,DUsUnce,Fikir
207,DUzen,Seviye
208,DUzmece,Sahte
209,DUzyazi,Nesir
210,Dilek,Istek
211,Dizi,Sira
212,Dost,Arkadas
213,Ebat,Boyut
214,Ebedi,Sonsuz
215,Ebeveyn,Ana-Baba
216,Edat,Ilgec
217,Efe,Zeybek
218,Egoist,Bencil
219,Ehemmiyet,onem
220,Ek,Ilave
221,Eklem,Mafsal
222,Ekonomi,Iktisat
223,Elbise,Giysi
224,Emir,Buyruk
225,Emniyet,GUvenlik
226,Ender,Nadir
227,Endise,Kaygi
228,EndUstri,Sanayi
229,Enkaz,Yikinti
230,Enlem,Paralel
231,Entari,Giysi
232,Enteresan,Ilginc
233,Erek,Amac
234,Esas,Temel
235,Eser,Yapit
236,Esir,Tutsak
237,Etki,Tesir
238,Etraf,cevre
239,Evvel,once
240,Eylem,Fiil
241,Eylemsi,Fiilimsi
242,Ev,Konut
243,Edebiyat,Yazin
244,Eda,Verme
245,Faaliyet,Etkinlik
246,Fakat,Ama
247,Fakir,Yoksul
248,Faktor,Unsur
249,Fare,Sican
250,Fark,Ayrim
251,Fasila,Ara
252,Fayda,Yarar
253,Fazla,cok
254,Fena,KotU
255,Fert,Birey
256,Feza,Uzay
257,Fiil,Eylem
258,Fikir,DUsUnce
259,File,Ag
260,FUze,Roket
261,Felc,NUzul
262,Fer,Isik
263,Faiz,Nema
264,Garip,Acayip
265,Garp,Bati
266,Gaye,Amac
267,Gayret,caba
268,Gebe,Hamile
269,Gelecek,Istikbal
270,Gelenek,Anane
271,Gene,Yine
272,Genel,Umumi
273,Geri,Art
274,Gida,Besin
275,Giysi,Elbise
276,Giz,Sir
277,Gizli,Sakli
278,Gorev,Vazife
279,Govde,Beden
280,Gramer,Dilbilgisi
281,GUc,Kuvvet
282,GUclU,Kuvvetli
283,GUldUrU,Komedi
284,GUlUnc,Komik
285,GUney,Cenup
286,GUven,Itimat
287,GUz,Sonbahar
288,Gozlem,Rasat
289,GokyUzU,Sema
290,Gezmek,Dolasmak
291,Hal,Durum
292,Halbuki,Oysa
293,Ham,Olmamis
294,Hane,Ev
295,Hareket,Devinim
296,Haric,Dis
297,Harp,Savas
298,Hasis,Cimri
299,Hasret,ozlem
300,Hassas,Duygulu
301,Hatira,Ani
302,Hayal,DUs
303,Hayat,Yasam
304,Haysiyet,Onur
305,Hediye,Armagan
306,Hekim,Doktor
307,Hayta,Serseri
308,Hela,Tuvalet
309,Hemen,Derhal
310,Hiddet,ofke
311,Hikaye,oykU
312,Hisse,Pay
313,Hudut,Sinir
314,Hususi,ozel
315,HUr,ozgUr
316,Hisim,Akraba
317,Hasim,DUsman
318,Hareket,Devinim
319,Hadise,Olay
320,Ilica,Kaplica
321,Irak,Uzak
322,Irgat,Rencber
323,Irk,Soy
324,Ira,Karakter
325,Irmak,Nehir
326,Icat,Bulus
327,Ic,Dahil
328,Icten,Samimi
329,Idare,Yonetim
330,Ihracat,Dissatim
331,Ihtiyar,Yasli
332,Ihtiyac,Gereksinim
333,Ikaz,Uyari
334,Iktisat,Ekonomi
335,Ilave,Ek
336,Ilgec,Edat
337,Ilgi,Alaka
338,Ilginc,Enteresan
339,Ilim,Bilim
340,Imar,Bayindir
341,Imkan,Olanak
342,Isim,Ad
343,Iskemle,Sandalye
344,Ithalat,Disalim
345,Itibar,Sayginlik
346,Itimat,GUven
347,Itina,ozen
348,Izah,Aciklama
349,Idadi,Lise
350,Ilan,Duyuru
351,Iliski,MUnasebet
352,Imtihan,Sinav
353,Jeoloji,Yer Bilimi
354,Kabiliyet,Yetenek
355,Kabus,Karabasan
356,Kafa,Bas
357,Kafi,Yeter
358,Kafiye,Uyak
359,Kalite,Nitelik
360,Kalp,YUrek
361,Kamu,Halk
362,Kanit,Delil
363,Kapital,Anamal
364,Kanun,Yasa
365,Kara,Siyah
366,Karsin,Ragmen
367,Karsit,Zit
368,Kas,Adale
369,Kati,Sert
370,Kati,Kesin
371,Kayip,Yitik
372,Keder,Aci
373,Kelime,SozcUk
374,Kenar,Kiyi
375,Kent,Sehir
376,Kere,Defa
377,Kesin,Kati
378,Kirmizi,Al
379,Kiyi,Sahil
380,Kir,Pislik
381,Kirli,Pis
382,Kisi,Sahis
383,Kocaman,Iri
384,Komedi,GUldUrU
385,Komik,GUlUnc
386,Kontrol,Denetim
387,Konuk,Misafir
388,Konut,Ev
389,Kosul,Sart
390,Kural,Kaide
391,Kurulus,MUessese
392,Kusku,SUphe
393,Kutsal,Mukaddes
394,Kuvvet,GUc
395,Kuzey,Simal
396,KUme,Grup
397,KUs,Dargin
398,Kilavuz,Rehber
399,Kolay,Basit
400,Laf,Soz
401,Lahza,An
402,Lider,onder
403,Lisan,Dil
404,LUzumlu,Gerekli
405,LUzumsuz,Gereksiz
406,Lal,Dilsiz
407,Lama,Deve
408,Lafazan,Geveze
409,Mabet,Tapinak
410,Macera,SerUven
411,Mafsal,Eklem
412,Maglup,Yenik
413,Mahalli,Yerel
414,Mahcup,Utangac
415,Mahluk,Yaratik
416,Mahpushane,Hapishane
417,Mahsul,UrUn
418,Mana,Anlam
419,Manzara,GorUnUm
420,Matbaa,Basimevi
421,Matem,Yas
422,Mebus,Milletvekili
423,Mecbur,Zorunlu
424,Mecmua,Dergi
425,Medeni,Uygar
426,Medeniyet,Uygarlik
427,Mektep,Okul
428,Melodi,Ezgi
429,Menfaat,cikar
430,Menfi,Olumsuz
431,Menkul,Tasinir
432,Meridyen,Boylam
433,Mesafe,Ara
434,Mesela,ornegin
435,Mesele,Sorun
436,Mesken,Konuk
437,Meslek,Is
438,Mesul,Sorumlu
439,Mesut,Mutlu
440,Meshur,UnlU
441,Mesrubat,Icecek
442,Mevcut,Var
443,Meydan,Alan
444,Millet,Ulus
445,Milletvekili,Mebus
446,Milli,Ulusal
447,Misafir,Konuk
448,Misal,ornek
449,Misli,Kati
450,Muavin,Yardimci
451,Muharebe,Savas
452,Muhtelif,cesitli
453,Mustu,MUjde
454,MUessese,Kurum
455,MUhim,onemli
456,MUkafat,odUl
457,MUsabaka,Yarisma
458,MUsait,Uygun
459,MUspet,Olumlu
460,MUstahsil,Uretici
461,MUstakil,Bagimsiz
462,MUsteri,Alici
463,Merkep,Esek
464,Mani,Engel
465,MUbarek,Kutsal
466,Muallim,ogretmen
467,Mektup,Name
468,Merasim,Toren
469,Nadir,Ender
470,Nakil,Atama
471,Nasihat,oğUt
472,Nebat,Bitki
473,Neden,Sebep
474,Nefes,Soluk
475,Nehir,Irmak
476,Nem,Rutubet
477,Nesil,Kusak
478,Nesir,DUzyazi
479,Nese,Sevinš
480,Netice,Sonuc
481,Nispet,Oran
482,Nitelik,Kalite
483,Noksan,Eksik
484,Numune,Írnek
485,Nutuk,Soylev
486,Nakit,Para
487,Nakliyeci,Tasimaci
488,Namzet,Aday
489,Okul,Mektep
490,Olanak,Imkan
491,Olasi,MUmkUn
492,Olay,Vaka
493,Olumlu,MUspet
494,Olumsuz,Menfi
495,Onarim,Tamir
496,Onay,Tasdik
497,Onur,Seref
498,Oran,Nispet
499,Otlak,Mera
500,Oy,Rey
501,Ozan,Sair
502,obek,Grup
503,obUr,Diger
504,odenti,Aidat
505,odlek,Korkak
506,odUl,MUkafat
507,odUn,Taviz
508,ofke,Hiddet
509,oge,Unsur
510,ogrenci,Talebe
511,ogrenim,Tahsil
512,ogUt,Nasihat
513,omUr,Hayat
514,once,Evvel
515,onder,Lider
516,onemli,MUhim
517,oneri,Teklif
518,onlem,Tedbir
519,orgUt,Teskilat
520,ornegin,Mesele
521,ornek,Misal
522,oteki,Digeri
523,otUrU,Dolayi
524,oykU,Hikaye
525,ozel,Hususi
526,ozen,Itina
527,ozgUn,Orijinal
528,ozgUr,HUr
529,ozlem,Hasret
530,Pabuc,Ayakkabi
531,Pasif,Edilgen
532,Pinti,Cimri
533,Pis,Kirli
534,Politika,Siyaset
535,Ragmen,Karsin
536,Rastlanti,TesadUf
537,Rey,Oy
538,Rutubet,Nem
539,RUya,DUs
540,RUzgar,Yel
541,Problem,Sorun
542,RUstiye,Ortaokul
543,Sade,Yalin
544,Saglik,Sihhat
545,Saha,Alan
546,Sahil,Kiyi
547,Saldiri,HUcum
548,Samimi,Icten
549,Sanayi,EndUstri
550,Sandalye,Iskemle
551,Savas,Harp
552,Saz,calgi
553,Sebep,Neden
554,Sene,Yil
555,Sermaye,Kapital
556,SerUven,Macera
557,Sican,Fare
558,Sihhat,Saglik
559,Sir,Giz
560,Sima,YUz
561,Siyah,Kara
562,Siyaset,Politika
563,Son,Nihayet
564,Sonuc,Netice
565,Sorun,Mesele,
566,Soylu,Asil
567,Somestri,Yariyil
568,Soylev,Nutuk
569,SozcUk,Kelime
570,Sulh,Baris
571,Suni,Yapay
572,Surat,YUz
573,SUrat,Hiz
574,SUrekli,Devamli
575,Sevinc,Mutluluk
576,Sinif,Derslik
577,Sonbahar,GUz
578,Sorumluluk,Mesuliyet
579,SozlUk,LUgat
580,Sinav,Imtihan
581,Safak,Tan
582,Sahis,Kisi
583,Sahit,Tanik
584,Sair,Ozan
585,Sans,Talih
586,Sark,Dogu
587,Sart,Kosul
588,Sayet,Eger
589,Sef,Lider
590,Sehir,Kent
591,Sekil,Bicim
592,Sen,Neseli
593,Seref,Onur
594,Sohret,Un
595,Suur,Bilinc
596,SUphe,Kusku
597,Saka,Latife
598,Tabiat,Doga
599,Tabii,Dogal
600,Tabip,Hekim
601,Talebe,ogrenci
602,Talih,Sans
603,Tamir,Onarim
604,Tane,Adet
605,Tanik,Sahit
606,Tanim,Tarif
607,Tapinak,Mabet
608,Taraf,Yan
609,Tarim,Ziraat
610,Tarif,Tanim
611,Tasdik,Onay
612,Tebrik,Kutlama
613,TecrUbe,Deney
614,Tedbir,onlem
615,Teklif,oneri
616,Tekrar,Yine
617,Temel,Esas
618,TercUme,ceviri
619,Tertip,DUzen
620,TesadUf,Rastlanti
621,Tesir,Etki
622,Toplum,Cemiyet
623,Toren,Merasim,
624,Tuhaf,Garip
625,Tutsak,Esir
626,Tuvalet,Hela
627,TUm,BUtUn
628,TUmor,Ur
629,TUmce,CUmle
630,Tren,Simendifer
631,Tartisma,MUnakasa
632,Ucurum,Yar
633,Ufak,KUcUk
634,Ugras,Is
635,Ulu,YUce
636,Ulus,Millet
637,Umumi,Genel
638,Umut,Umit
639,Unsur,oge
640,Us,Akil
641,Uyari,Ikaz
642,Uygar,Medeni
643,Uyum,Ahenk
644,Uzak,Irak
645,Uzay,Feza
646,Ucak,Tayyare
647,Usta,Ehil
648,Umit,Umut
649,UnlU,Meshur
650,UrUn,Mahsul
651,Uye,Aza
652,Ulke,Diyar
653,UlkU,Ideal
654,Ules,Pay
655,Urem,Faiz
656,Vaka,Olay
657,Vakit,Zaman
658,Varlikli,Zengin
659,Vasita,Arac
660,Vatan,Yurt
661,Vazife,Gorev
662,Vaziyet,Durum
663,Vesika,Belge
664,Viraj,Donemec
665,VUcut,Govde
666,Vilayet,Il
667,Veteriner,Baytar
668,Yalin,Sade
669,Yan,Taraf
670,Yanit,Cevap
671,Yapay,Suni
672,Yapit,Eser
673,Yar,Ucurum
674,Yaratik,Mahluk
675,Yardimci,Muavin
676,Yargic,Hakim
677,Yariyil,Somestri
678,Yas,Matem
679,Yasa,Kanun
680,Yas,Islak
681,Yasam,Hayat
682,Yasli,Ihtiyar
683,Yazi,Ova
684,Yazim,Imla
685,YekUn,Toplam
686,Yel,RUzgar
687,Yerel,Mahalli
688,Yetenek,Kabiliyet
689,Yil,Sene
690,Yine,Tekrar
691,Yitik,Kayip
692,Yoksul,Fakir
693,Yontem,Metot
694,Yurt,Vatan
695,YUce,Ulu
696,YUrek,Kalp
697,YUz,Surat
698,YUzyil,Asir
699,Yemek,As
700,Zaman,Vakit
701,Zarar,Ziyan
702,Zengin,Varlikli
703,Zeybek,Efe
704,Zit,Karsit
705,Ziraat,Tarim
706,Ziyan,Zarar
707,Zor,GUc
708,Zorunlu,Mecburi
709,Zirnik,Metelik
710,Zehir,Agu
711,Zabit,Subay
